Fabricante;Producto;Tipo Licencia;Licencia Metrica;Precio;Moneda
Microsoft;CoreCALBridgeO365FromSA ALNG SubsVL MVL PerUsr;Suscripción;Named User;14,1600;USD
Microsoft;CoreCALBridgeO365FromSA ALNG SubsVL MVL PerUsr;Suscripción;Named User;13,9200;USD
Microsoft;CoreCALBridgeO365FromSA ALNG SubsVL MVL PerUsr;Suscripción;Named User;13,9200;USD
Microsoft;CoreCALBridgeO365FromSA ALNG SubsVL MVL PerUsr;Suscripción;Named User;8,2600;USD
Microsoft;CoreCALBridgeO365 ALNG SubsVL MVL PerUsr;Suscripción;usuario;26,0300;USD
Microsoft;CoreCALBridgeO365 ALNG SubsVL MVL PerUsr;Suscripción;usuario;186,8000;BRL
Microsoft;CoreCALBridgeO365FromSA ALNG SubsVL MVL PerUsr;Suscripción;Named User;112,1200;BRL
Microsoft;CoreCALBridgeO365FromSA ALNG SubsVL MVL PerUsr;Suscripción;Named User;13,9200;USD
Microsoft;CoreCALBridgeO365FromSA ALNG SubsVL MVL PerUsr;Suscripción;Named User;13,9200;USD
Microsoft;CoreCALBridgeO365 ALNG SubsVL MVL PerUsr;Suscripción;usuario;16,6800;USD
Microsoft;CoreCALBridgeO365 ALNG SubsVL MVL PerUsr;Suscripción;usuario;21,9200;USD
Microsoft;CoreCALBridgeO365 ALNG SubsVL MVL PerUsr;Suscripción;usuario;27,4000;USD
Microsoft;CoreCALBridgeO365 ALNG SubsVL MVL PerUsr;Suscripción;usuario;25,0200;USD
Microsoft;CoreCALBridgeO365 ALNG SubsVL MVL PerUsr;Suscripción;usuario;16,6800;USD
Microsoft;CoreCALBridgeO365 ALNG SubsVL MVL PerUsr;Suscripción;usuario;26,0300;USD
Microsoft;O365E3 ShrdSvr ALNG SubsVL MVL PerUsr;Suscripción;usuario;1244,0000;BRL
Microsoft;O365E3 ShrdSvr ALNG SubsVL MVL PerUsr;Suscripción;usuario;180,6900;USD
Microsoft;PowerAutomateperFlowplan;Suscripción;Named User;1056,0000;USD
Microsoft;O365E3 ShrdSvr ALNG SubsVL MVL PerUsr;Suscripción;usuario;173,3400;USD
Microsoft;O365E3 ShrdSvr ALNG SubsVL MVL PerUsr;Suscripción;usuario;192,6000;USD
Microsoft;O365E3 ShrdSvr ALNG SubsVL MVL PerUsr;Suscripción;usuario;152,1600;USD
Microsoft;O365E3 ShrdSvr ALNG SubsVL MVL PerUsr;Suscripción;usuario;190,2000;USD
Microsoft;O365E3 ShrdSvr ALNG SubsVL MVL PerUsr;Suscripción;usuario;180,6900;USD
Microsoft;O365E3 ShrdSvr ALNG SubsVL MVL PerUsr;Suscripción;usuario;182,9700;USD
Microsoft;M365AppsForEnterprisePerDevice ShrdSvr;Suscripción;Dispositivo;73,6800;USD
Microsoft;M365AppsForEnterprisePerDevice ShrdSvr;Suscripción;Dispositivo;73,6800;USD
Microsoft;M365AppsForEnterprisePerDevice ShrdSvr;Suscripción;Dispositivo;73,6800;USD
Microsoft;Defender for Endpoint Server ;Suscripción;Dispositivo;14,8800;USD
Microsoft;Defender for Endpoint Server ;Suscripción;Dispositivo;14,8800;USD
Microsoft;M365AppsForEnterprisePerDevice ShrdSvr;Suscripción;Dispositivo;482,1100;BRL
Microsoft;M365AppsForEnterprisePerDevice ShrdSvr;Suscripción;Dispositivo;73,6800;USD
Microsoft;M365AppsForEnterprisePerDevice ShrdSvr;Suscripción;Dispositivo;74,6400;USD
Microsoft;M365AppsForEnterprisePerDevice ShrdSvr;Suscripción;Dispositivo;74,6400;USD
Microsoft;Defender for Endpoint Per Device;Suscripción;Named User;14,8800;USD
Microsoft;Defender for Endpoint Server ;Suscripción;Dispositivo;97,1100;BRL
Microsoft;Defender for Endpoint Server ;Suscripción;Dispositivo;14,8800;USD
Microsoft;Defender for Endpoint Server ;Suscripción;Dispositivo;15,1200;USD
Microsoft;Defender for Endpoint Server ;Suscripción;Dispositivo;15,1200;USD
Microsoft;Defender for Endpoint Server ;Suscripción;Dispositivo;14,8800;USD
Microsoft;Defender for Endpoint Per Device;Suscripción;Named User;14,8800;USD
Microsoft;Defender for Endpoint Per Device;Suscripción;Named User;15,1200;USD
Microsoft;Defender for Endpoint Per Device;Suscripción;Named User;15,1200;USD
Microsoft;Defender for Endpoint Per Device;Suscripción;Named User;14,8800;USD
Microsoft;Defender for Endpoint Per Device;Suscripción;Named User;14,8800;USD
Microsoft;Azure Active Directory Premium P2;Suscripción;usuario;30,6000;USD
Microsoft;Azure Active Directory Premium P2;Suscripción;usuario;31,9200;USD
Microsoft;Azure Active Directory Premium P2;Suscripción;usuario;220,0000;USD
Microsoft;Azure Active Directory Premium P2;Suscripción;usuario;31,9200;USD
Microsoft;Defender for Endpoint Per Device;Suscripción;Named User;110,2700;BRL
Microsoft;Azure Active Directory Premium P2;Suscripción;usuario;20,4000;USD
Microsoft;Azure Active Directory Premium P2;Suscripción;usuario;20,4000;USD
Microsoft;Azure Active Directory Premium P2;Suscripción;usuario;26,8800;USD
Microsoft;Azure Active Directory Premium P2;Suscripción;usuario;33,6000;USD
Microsoft;Defender for O365 Plan 2 ;Suscripción;Named User;10,2400;USD
Microsoft;Defender for O365 Plan 2 ;Suscripción;Named User;12,8000;USD
Microsoft;Defender for O365 Plan 2 ;Suscripción;Named User;11,7000;USD
Microsoft;Defender for O365 Plan 2 ;Suscripción;Named User;12,1600;USD
Microsoft;Defender for O365 Plan 2 ;Suscripción;Named User;83,2000;USD
Microsoft;Defender for O365 Plan 2 ;Suscripción;Named User;12,1600;USD
Microsoft;Defender for O365 Plan 2 ;Suscripción;Named User;7,8000;USD
Microsoft;Defender for O365 Plan 2 ;Suscripción;Named User;7,8000;USD
Microsoft;Defender Identity Sub Per User;Suscripción;usuario;19,9800;USD
Microsoft;Defender Identity Sub Per User;Suscripción;usuario;20,9000;USD
Microsoft;Defender Identity Sub Per User;Suscripción;usuario;134,4000;BRL
Microsoft;Defender Identity Sub Per User;Suscripción;usuario;20,9000;USD
Microsoft;Defender Identity Sub Per User;Suscripción;usuario;13,3200;USD
Microsoft;Defender Identity Sub Per User;Suscripción;usuario;13,3200;USD
